Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-07-12 01:55:20,gpt-5.6-terra,4897,0.0122425,75,0.001125,4972,0.0133675
2,2026-07-12 01:55:33,gpt-5.6-terra,3975,0.0099375,667,0.010005,4642,0.019942500000000002
3,2026-07-12 01:55:48,gpt-5.6-terra,11322,0.028305,744,0.01116,12066,0.039465
4,2026-07-12 01:56:21,gpt-5.6-luna,82028,0.082028,3522,0.021131999999999998,85550,0.10316
5,2026-07-12 01:59:33,gpt-5.4-mini,8828,0.006621,318,0.001431,9146,0.008052
6,2026-07-12 01:59:34,gpt-5.4-mini,2568,0.001926,36,0.000162,2604,0.002088
7,2026-07-12 01:59:35,gpt-5.4-mini,2577,0.00193275,52,0.000234,2629,0.00216675
8,2026-07-12 01:59:36,gpt-5.4-mini,2569,0.00192675,51,0.0002295,2620,0.00215625
9,2026-07-12 01:59:38,gpt-5.4-mini,2592,0.001944,78,0.00035099999999999997,2670,0.002295
10,2026-07-12 01:59:43,gpt-5.4-mini,7655,0.00574125,112,0.000504,7767,0.00624525
11,2026-07-12 01:59:44,gpt-5.4-mini,2579,0.0019342500000000002,92,0.000414,2671,0.00234825
12,2026-07-12 01:59:45,gpt-5.4-mini,2574,0.0019305,61,0.0002745,2635,0.002205
13,2026-07-12 01:59:47,gpt-5.4-mini,2576,0.0019320000000000001,62,0.000279,2638,0.0022110000000000003
14,2026-07-12 01:59:48,gpt-5.4-mini,2573,0.00192975,48,0.000216,2621,0.00214575
15,2026-07-12 01:59:50,gpt-5.4-mini,2592,0.001944,76,0.000342,2668,0.002286
16,2026-07-12 01:59:52,gpt-5.4-mini,2579,0.0019342500000000002,85,0.00038250000000000003,2664,0.0023167500000000002
17,2026-07-12 02:00:26,gpt-5.6-luna,110522,0.110522,2983,0.017898,113505,0.12842
18,2026-07-12 02:03:32,gpt-5.4-mini,7941,0.00595575,348,0.0015660000000000001,8289,0.007521750000000001
19,2026-07-12 02:03:33,gpt-5.4-mini,2535,0.00190125,50,0.00022500000000000002,2585,0.00212625
20,2026-07-12 02:03:34,gpt-5.4-mini,2544,0.001908,55,0.0002475,2599,0.0021555
21,2026-07-12 02:03:35,gpt-5.4-mini,2536,0.001902,50,0.00022500000000000002,2586,0.002127
22,2026-07-12 02:03:41,gpt-5.4-mini,8459,0.006344249999999999,174,0.0007830000000000001,8633,0.007127249999999999
23,2026-07-12 02:03:45,gpt-5.4-mini,7137,0.00535275,126,0.000567,7263,0.00591975
24,2026-07-12 02:03:46,gpt-5.4-mini,2546,0.0019095000000000002,101,0.0004545,2647,0.002364
25,2026-07-12 02:03:48,gpt-5.4-mini,2541,0.00190575,59,0.0002655,2600,0.00217125
26,2026-07-12 02:03:48,gpt-5.4-mini,2543,0.00190725,52,0.000234,2595,0.00214125
27,2026-07-12 02:03:50,gpt-5.4-mini,2540,0.001905,85,0.00038250000000000003,2625,0.0022875
28,2026-07-12 02:03:51,gpt-5.4-mini,2559,0.00191925,69,0.0003105,2628,0.00222975
29,2026-07-12 02:03:52,gpt-5.4-mini,2546,0.0019095000000000002,67,0.0003015,2613,0.0022110000000000003
30,2026-07-12 02:04:22,gpt-5.6-luna,92399,0.092399,3508,0.021047999999999997,95907,0.11344699999999999
31,2026-07-12 02:05:40,gpt-5.4-mini,9030,0.0067725,217,0.0009764999999999999,9247,0.007749
32,2026-07-12 02:05:42,gpt-5.4-mini,2735,0.00205125,48,0.000216,2783,0.00226725
33,2026-07-12 02:05:43,gpt-5.4-mini,2744,0.002058,71,0.0003195,2815,0.0023775
34,2026-07-12 02:05:44,gpt-5.4-mini,2736,0.002052,51,0.0002295,2787,0.0022815
35,2026-07-12 02:05:45,gpt-5.4-mini,2759,0.00206925,73,0.0003285,2832,0.0023977499999999997
36,2026-07-12 02:05:47,gpt-5.4-mini,2755,0.00206625,54,0.000243,2809,0.00230925
37,2026-07-12 02:05:48,gpt-5.4-mini,2746,0.0020595,82,0.000369,2828,0.0024285
38,2026-07-12 02:05:50,gpt-5.4-mini,2741,0.00205575,71,0.0003195,2812,0.0023752499999999998
39,2026-07-12 02:05:52,gpt-5.4-mini,2743,0.00205725,67,0.0003015,2810,0.00235875
