seed,algorithm,NDCG@10,Precision@10
11,ALS,0.18546653191292364,0.1669509594882729
23,ALS,0.18359996532321876,0.16023454157782518
37,ALS,0.18670537340953908,0.16727078891257996
41,ALS,0.1857262345327644,0.16609808102345416
59,ALS,0.1820726154181836,0.16428571428571428
11,Pop,0.13736744564488634,0.11855010660980811
23,Pop,0.14258176021896554,0.1267590618336887
37,Pop,0.1410960430937773,0.12260127931769722
41,Pop,0.1378384548218036,0.12164179104477613
59,Pop,0.14078956143538596,0.12526652452025586
