algorithm,split_seed,metric,value,train_interactions,validation_interactions,test_interactions
ALS,11,Precision@10,0.14754797441364606,43536,0,10877
ALS,22,Precision@10,0.1396588486140725,43536,0,10877
ALS,33,Precision@10,0.14445628997867804,43536,0,10877
ALS,44,Precision@10,0.1398720682302772,43536,0,10877
ALS,55,Precision@10,0.14232409381663114,43536,0,10877
Pop,11,Precision@10,0.11737739872068231,43536,0,10877
Pop,22,Precision@10,0.11833688699360341,43536,0,10877
Pop,33,Precision@10,0.11417910447761195,43536,0,10877
Pop,44,Precision@10,0.11279317697228144,43536,0,10877
Pop,55,Precision@10,0.11247334754797442,43536,0,10877
ALS,11,nDCG@10,0.15599045516185836,43536,0,10877
ALS,22,nDCG@10,0.15186605120152147,43536,0,10877
ALS,33,nDCG@10,0.1567829347076805,43536,0,10877
ALS,44,nDCG@10,0.15132662856939896,43536,0,10877
ALS,55,nDCG@10,0.15096632880145047,43536,0,10877
Pop,11,nDCG@10,0.1328263779424512,43536,0,10877
Pop,22,nDCG@10,0.1338042819804274,43536,0,10877
Pop,33,nDCG@10,0.13275265052573657,43536,0,10877
Pop,44,nDCG@10,0.12980588504084611,43536,0,10877
Pop,55,nDCG@10,0.12766647320306407,43536,0,10877
