algorithm,split_seed,Precision@10,nDCG@10,train_interactions,validation_interactions,test_interactions
ALS,11,0.14754797441364606,0.15599045516185836,43536,0,10877
ALS,22,0.1396588486140725,0.15186605120152147,43536,0,10877
ALS,33,0.14445628997867804,0.1567829347076805,43536,0,10877
ALS,44,0.1398720682302772,0.15132662856939896,43536,0,10877
ALS,55,0.14232409381663114,0.15096632880145047,43536,0,10877
Pop,11,0.11737739872068231,0.1328263779424512,43536,0,10877
Pop,22,0.11833688699360341,0.1338042819804274,43536,0,10877
Pop,33,0.11417910447761195,0.13275265052573657,43536,0,10877
Pop,44,0.11279317697228144,0.12980588504084611,43536,0,10877
Pop,55,0.11247334754797442,0.12766647320306407,43536,0,10877
