algorithm,ndcg_at_10,precision_at_10,split_seed,training_seed
ALS,0.15538400870016975,0.1450959488272921,11,2026
ALS,0.16346936238187024,0.14829424307036246,23,2026
ALS,0.16522850754129273,0.15074626865671642,37,2026
ALS,0.16369259259986615,0.15074626865671642,53,2026
ALS,0.16652021215502716,0.15000000000000002,71,2026
Pop,0.14003086071422216,0.1208955223880597,11,2026
Pop,0.1389345570476171,0.12452025586353944,23,2026
Pop,0.14251187281494956,0.12366737739872068,37,2026
Pop,0.1312958324120398,0.1162046908315565,53,2026
Pop,0.13640467883630475,0.12036247334754797,71,2026
