dataset,algorithm,seed,train,val,test,train_users,test_users,configuration,training_random_state,NDCG@10,Precision@10
MovieLens100K,ALS,11,43158,0,11255,938,938,{},11,0.15727346400163403,0.14754797441364606
MovieLens100K,ALS,22,43158,0,11255,938,938,{},22,0.1614127023970331,0.1488272921108742
MovieLens100K,ALS,33,43158,0,11255,938,938,{},33,0.1572467802334412,0.146908315565032
MovieLens100K,ALS,44,43158,0,11255,938,938,{},44,0.1638246311960825,0.15287846481876333
MovieLens100K,ALS,55,43158,0,11255,938,938,{},55,0.15852406098755092,0.1457356076759062
MovieLens100K,Pop,11,43158,0,11255,938,938,{},11,0.13736744564488634,0.11855010660980811
MovieLens100K,Pop,22,43158,0,11255,938,938,{},22,0.13658582813455142,0.1197228144989339
MovieLens100K,Pop,33,43158,0,11255,938,938,{},33,0.13513639062275906,0.11940298507462686
MovieLens100K,Pop,44,43158,0,11255,938,938,{},44,0.1366008093147987,0.11950959488272922
MovieLens100K,Pop,55,43158,0,11255,938,938,{},55,0.13784118843134713,0.12046908315565032
