run,artifact,algorithm,metric,n_values,seeds,mean,std,min,max,range,bestseed,worstseed
R1 (out_2026-07-12T01-55-07),out_2026-07-12T01-55-07\checkpoint\6c02e145111d41ceb387d87341b63d77_iteration2\generated\prototype_als_pop_metrics_by_seed.csv,ALS,NDCG@10,5,11;23;37;41;59,0.1847141441193259,0.0018556991102940963,0.1820726154181836,0.18670537340953908,0.004632757991355485,37,59
R1 (out_2026-07-12T01-55-07),out_2026-07-12T01-55-07\checkpoint\6c02e145111d41ceb387d87341b63d77_iteration2\generated\prototype_als_pop_metrics_by_seed.csv,ALS,Precision@10,5,11;23;37;41;59,0.1649680170575693,0.0028889094247018716,0.16023454157782518,0.16727078891257996,0.007036247334754775,37,23
R1 (out_2026-07-12T01-55-07),out_2026-07-12T01-55-07\checkpoint\6c02e145111d41ceb387d87341b63d77_iteration2\generated\prototype_als_pop_metrics_by_seed.csv,Pop,NDCG@10,5,11;23;37;41;59,0.13993465304296376,0.0022400598439517834,0.13736744564488634,0.14258176021896554,0.0052143145740791985,23,11
R1 (out_2026-07-12T01-55-07),out_2026-07-12T01-55-07\checkpoint\6c02e145111d41ceb387d87341b63d77_iteration2\generated\prototype_als_pop_metrics_by_seed.csv,Pop,Precision@10,5,11;23;37;41;59,0.1229637526652452,0.003204152417436311,0.11855010660980811,0.1267590618336887,0.008208955223880599,23,11
R2 (out_2026-07-12T02-40-20),out_2026-07-12T02-40-20\checkpoint\573a53b2e77c4aa988b61319d864c2dc_iteration2\generated\per_run_results.csv,ALS,NDCG@10,5,11;22;33;44;55,0.15338647968838195,0.002771660815113053,0.15096632880145047,0.1567829347076805,0.005816605906230038,33,55
R2 (out_2026-07-12T02-40-20),out_2026-07-12T02-40-20\checkpoint\573a53b2e77c4aa988b61319d864c2dc_iteration2\generated\per_run_results.csv,ALS,Precision@10,5,11;22;33;44;55,0.14277185501066098,0.0033146907848552636,0.1396588486140725,0.14754797441364606,0.00788912579957357,11,22
R2 (out_2026-07-12T02-40-20),out_2026-07-12T02-40-20\checkpoint\573a53b2e77c4aa988b61319d864c2dc_iteration2\generated\per_run_results.csv,Pop,NDCG@10,5,11;22;33;44;55,0.13137113373850506,0.0025554377248363947,0.12766647320306407,0.1338042819804274,0.006137808777363335,22,55
R2 (out_2026-07-12T02-40-20),out_2026-07-12T02-40-20\checkpoint\573a53b2e77c4aa988b61319d864c2dc_iteration2\generated\per_run_results.csv,Pop,Precision@10,5,11;22;33;44;55,0.11503198294243071,0.0026790686296650464,0.11247334754797442,0.11833688699360341,0.005863539445628993,22,55
R3 (out_2026-07-12T03-28-31),out_2026-07-12T03-28-31\checkpoint\2eaf3406957e4f5c807fff3c7a497eb7_iteration1\generated\als_split_seed_results.csv,ALS,NDCG@10,5,11;23;37;53;71,0.16285893667564522,0.004357807768953438,0.15538400870016975,0.16652021215502716,0.011136203454857413,71,11
R3 (out_2026-07-12T03-28-31),out_2026-07-12T03-28-31\checkpoint\2eaf3406957e4f5c807fff3c7a497eb7_iteration1\generated\als_split_seed_results.csv,ALS,Precision@10,5,11;23;37;53;71,0.14897654584221748,0.0023893443848746095,0.1450959488272921,0.15074626865671642,0.005650319829424322,37,11
R3 (out_2026-07-12T03-28-31),out_2026-07-12T03-28-31\checkpoint\2eaf3406957e4f5c807fff3c7a497eb7_iteration1\generated\als_split_seed_results.csv,Pop,NDCG@10,5,11;23;37;53;71,0.13783556036502667,0.004263522578489,0.1312958324120398,0.14251187281494956,0.011216040402909772,37,53
R3 (out_2026-07-12T03-28-31),out_2026-07-12T03-28-31\checkpoint\2eaf3406957e4f5c807fff3c7a497eb7_iteration1\generated\als_split_seed_results.csv,Pop,Precision@10,5,11;23;37;53;71,0.12113006396588485,0.0032724175383354935,0.1162046908315565,0.12452025586353944,0.008315565031982941,23,53
R4 (out_2026-07-12T08-58-59),out_2026-07-12T08-58-59\checkpoint\a9c04bcc265c419791494017cc623974_iteration1\generated\movielens100k_implicit_seed_raw_results.csv,ALS,NDCG@10,5,11;22;33;44;55,0.15965632776314836,0.0028820822515389028,0.1572467802334412,0.1638246311960825,0.006577850962641296,44,33
R4 (out_2026-07-12T08-58-59),out_2026-07-12T08-58-59\checkpoint\a9c04bcc265c419791494017cc623974_iteration1\generated\movielens100k_implicit_seed_raw_results.csv,ALS,Precision@10,5,11;22;33;44;55,0.14837953091684436,0.0027516898114661958,0.1457356076759062,0.15287846481876333,0.0071428571428571175,44,55
R4 (out_2026-07-12T08-58-59),out_2026-07-12T08-58-59\checkpoint\a9c04bcc265c419791494017cc623974_iteration1\generated\movielens100k_implicit_seed_raw_results.csv,Pop,NDCG@10,5,11;22;33;44;55,0.13670633242966854,0.0010265649660247077,0.13513639062275906,0.13784118843134713,0.0027047978085880664,55,33
R4 (out_2026-07-12T08-58-59),out_2026-07-12T08-58-59\checkpoint\a9c04bcc265c419791494017cc623974_iteration1\generated\movielens100k_implicit_seed_raw_results.csv,Pop,Precision@10,5,11;22;33;44;55,0.11953091684434969,0.0006884385625144079,0.11855010660980811,0.12046908315565032,0.0019189765458422076,55,11
