dataset,algorithm,seed,Precision@1,nDCG@1,Precision@5,nDCG@5,Precision@10,nDCG@10
ml100k,ALS,1,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,ItemKNN,1,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,Pop,1,0.21321961620469082,0.21321961620469082,0.14008528784648186,0.16141797927540272,0.11886993603411514,0.15997354589238258
ml100k,ALS,7,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,ItemKNN,7,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,Pop,7,0.1929637526652452,0.1929637526652452,0.1447761194029851,0.1604035605005578,0.12164179104477614,0.15755507233442861
ml100k,ALS,21,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,ItemKNN,21,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,Pop,21,0.20362473347547974,0.20362473347547974,0.13582089552238807,0.1545074927058201,0.11460554371002132,0.15176856285140386
ml100k,ALS,42,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,ItemKNN,42,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,Pop,42,0.21961620469083157,0.21961620469083157,0.14712153518123666,0.16732908799397558,0.11652452025586355,0.15713661100421955
ml100k,ALS,84,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,ItemKNN,84,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,Pop,84,0.19616204690831557,0.19616204690831557,0.13624733475479744,0.1528575368285336,0.11727078891257996,0.1536982479879557
amazon_videogames,ALS,1,0.0,0.0,0.0,0.0,0.0,0.0
amazon_videogames,ItemKNN,1,0.0,0.0,0.0,0.0,0.0,0.0
amazon_videogames,Pop,1,0.00614047191941493,0.00614047191941493,0.005395336001103904,0.011876255600709186,0.004505312543121293,0.015599510015480501
amazon_videogames,ALS,7,0.0,0.0,0.0,0.0,0.0,0.0
amazon_videogames,ItemKNN,7,0.0,0.0,0.0,0.0,0.0,0.0
amazon_videogames,Pop,7,0.007589347316130813,0.007589347316130813,0.005519525320822409,0.012914787183189395,0.004836484062370637,0.017286083265731066
amazon_videogames,ALS,21,0.0,0.0,0.0,0.0,0.0,0.0
amazon_videogames,ItemKNN,21,0.0,0.0,0.0,0.0,0.0,0.0
amazon_videogames,Pop,21,0.0062784600524354904,0.0062784600524354904,0.005022768041948393,0.010951721467598438,0.004484614323168208,0.015210968431737673
amazon_videogames,ALS,42,0.0,0.0,0.0,0.0,0.0,0.0
amazon_videogames,ItemKNN,42,0.0,0.0,0.0,0.0,0.0,0.0
amazon_videogames,Pop,42,0.006968400717538291,0.006968400717538291,0.005836898026769698,0.013469224972618361,0.0048985787222298885,0.017507361821355493
amazon_videogames,ALS,84,0.0,0.0,0.0,0.0,0.0,0.0
amazon_videogames,ItemKNN,84,0.0,0.0,0.0,0.0,0.0,0.0
amazon_videogames,Pop,84,0.007658341382641093,0.007658341382641093,0.0059886849730923135,0.013642113167997428,0.004732992962605216,0.017232098513149583
lastfm,ALS,1,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,ItemKNN,1,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,Pop,1,0.04036697247706422,0.04036697247706422,0.041651376146788995,0.05010139094512433,0.03743119266055046,0.05923377420363307
lastfm,ALS,7,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,ItemKNN,7,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,Pop,7,0.026605504587155965,0.026605504587155965,0.03633027522935779,0.0423912031874695,0.03275229357798166,0.0496391281961095
lastfm,ALS,21,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,ItemKNN,21,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,Pop,21,0.04220183486238532,0.04220183486238532,0.04036697247706422,0.0523288662003101,0.03513761467889908,0.057339325504687344
lastfm,ALS,42,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,ItemKNN,42,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,Pop,42,0.03944954128440367,0.03944954128440367,0.037981651376146786,0.04745166744778054,0.035688073394495416,0.0554732253911584
lastfm,ALS,84,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,ItemKNN,84,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,Pop,84,0.04036697247706422,0.04036697247706422,0.03944954128440367,0.05186759996854615,0.03559633027522936,0.06022498674215537
