,,seed,seed,Precision@1,Precision@1,nDCG@1,nDCG@1,Precision@5,Precision@5,nDCG@5,nDCG@5,Precision@10,Precision@10,nDCG@10,nDCG@10
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,algorithm,,,,,,,,,,,,,,
amazon_videogames,ALS,31.0,33.56337289367682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amazon_videogames,ItemKNN,31.0,33.56337289367682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amazon_videogames,Pop,31.0,33.56337289367682,0.0069270042776321235,0.0007096669447011892,0.0069270042776321235,0.0007096669447011892,0.005552642472747343,0.0003799813371360124,0.012570820478422562,0.0011376525976897086,0.004691596522699048,0.0001891368864616086,0.016567204409490863,0.0010745435549181553
lastfm,ALS,31.0,33.56337289367682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,ItemKNN,31.0,33.56337289367682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,Pop,31.0,33.56337289367682,0.03779816513761468,0.006336255651314499,0.03779816513761468,0.006336255651314499,0.0391559633027523,0.002070225718542146,0.04882814554984612,0.004075641084987796,0.035321100917431195,0.0016804274389003828,0.056382088007548736,0.00418658054817604
ml100k,ALS,31.0,33.56337289367682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,ItemKNN,31.0,33.56337289367682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,Pop,31.0,33.56337289367682,0.20511727078891256,0.011247208439149623,0.20511727078891256,0.011247208439149623,0.14081023454157782,0.00504479594536384,0.15930313146085795,0.005801795947261993,0.11778251599147123,0.0026464153603215843,0.15602640801407805,0.003267217365378399
