,,Precision@1,Precision@1,nDCG@1,nDCG@1,Precision@5,Precision@5,nDCG@5,nDCG@5,Precision@10,Precision@10,nDCG@10,nDCG@10,seed,seed,n_users_eval,n_users_eval
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,algorithm,,,,,,,,,,,,,,,,
amazon_vg,ALS,0.04833724299710225,0.0020476248711521513,0.04833724299710225,0.0020476248711521513,0.03195805160756175,0.000494933253331336,0.06350231925163355,0.00109905695950644,0.02491789706085277,0.00016177600660329823,0.0794587735759164,0.0009560323854723547,21.0,15.811388300841896,14494.0,0.0
amazon_vg,ItemKNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.811388300841896,14494.0,0.0
amazon_vg,Pop,0.009038222712846695,0.00039332669556338477,0.009038222712846695,0.00039332669556338477,0.0067972954325927985,0.00018347752326308464,0.013579928048924944,0.0004856873284293607,0.005719608113702222,0.00011544915503436914,0.017704370385227142,0.0004955862043297724,21.0,15.811388300841896,14494.0,0.0
lastfm,ALS,0.12752293577981652,0.0097739797030562,0.12752293577981652,0.0097739797030562,0.09629357798165138,0.0019651024932829772,0.11979408248294958,0.0037303428233050957,0.08097247706422019,0.0026163683580942756,0.1292574429490665,0.0038093533769045845,21.0,15.811388300841896,1090.0,0.0
lastfm,ItemKNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.811388300841896,1090.0,0.0
lastfm,Pop,0.04128440366972477,0.0058744259059016965,0.04128440366972477,0.0058744259059016965,0.041247706422018346,0.0017522695612937002,0.0490706756948405,0.0028992990762139815,0.03691743119266055,0.0016546857762415566,0.055921185502681936,0.0026367611250055216,21.0,15.811388300841896,1090.0,0.0
ml100k,ALS,0.17078891257995737,0.010537666348103679,0.17078891257995737,0.010537666348103679,0.15611940298507462,0.00532280896430875,0.17115296881805006,0.005160839578870759,0.14562899786780387,0.0017517779024685519,0.19463749473924669,0.003404111403641896,21.0,15.811388300841896,938.0,0.0
ml100k,ItemKNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.811388300841896,938.0,0.0
ml100k,Pop,0.2113006396588486,0.009275665984714805,0.2113006396588486,0.009275665984714805,0.1417484008528785,0.004450624325059478,0.1604451179914033,0.005545905866254507,0.1184861407249467,0.0046614216643469,0.15476954849719127,0.00609197943925839,21.0,15.811388300841896,938.0,0.0
