dataset,algorithm,seed,P@1,nDCG@1,P@5,nDCG@5,P@10,nDCG@10
ml100k,ALS,1,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,ItemKNN,1,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,Pop,1,0.19189765458422176,0.19189765458422176,0.14349680170575693,0.15941262779071697,0.11652452025586355,0.1531975722636638
ml100k,ALS,7,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,ItemKNN,7,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,Pop,7,0.21748400852878466,0.21748400852878466,0.13923240938166312,0.1611675731228998,0.11385927505330491,0.1546166172629127
ml100k,ALS,21,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,ItemKNN,21,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,Pop,21,0.1929637526652452,0.1929637526652452,0.13987206823027717,0.1561268024062055,0.11343283582089553,0.14956874679771978
ml100k,ALS,42,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,ItemKNN,42,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,Pop,42,0.19616204690831557,0.19616204690831557,0.1426439232409382,0.15897368156795927,0.11407249466950961,0.15160834182309216
ml100k,ALS,84,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,ItemKNN,84,0.0,0.0,0.0,0.0,0.0,0.0
ml100k,Pop,84,0.2046908315565032,0.2046908315565032,0.1417910447761194,0.1605562005867347,0.11460554371002132,0.15257422523887315
amazon_vg,ALS,1,0.0,0.0,0.0,0.0,0.0,0.0
amazon_vg,ItemKNN,1,0.0,0.0,0.0,0.0,0.0,0.0
amazon_vg,Pop,1,0.005381537187801849,0.005381537187801849,0.005326341934593625,0.011513304702651574,0.0044501172899130675,0.015167139600498439
amazon_vg,ALS,7,0.0,0.0,0.0,0.0,0.0,0.0
amazon_vg,ItemKNN,7,0.0,0.0,0.0,0.0,0.0,0.0
amazon_vg,Pop,7,0.007244376983579412,0.007244376983579412,0.005616117013936802,0.013043526814298293,0.004553608389678488,0.0166074343268709
amazon_vg,ALS,21,0.0,0.0,0.0,0.0,0.0,0.0
amazon_vg,ItemKNN,21,0.0,0.0,0.0,0.0,0.0,0.0
amazon_vg,Pop,21,0.007451359183110253,0.007451359183110253,0.005436732441010074,0.012993199211366673,0.004470815509866152,0.016675524595385474
amazon_vg,ALS,42,0.0,0.0,0.0,0.0,0.0,0.0
amazon_vg,ItemKNN,42,0.0,0.0,0.0,0.0,0.0,0.0
amazon_vg,Pop,42,0.008072305781702774,0.008072305781702774,0.005533324134124465,0.013148153192167038,0.004636401269490824,0.017026790668474158
amazon_vg,ALS,84,0.0,0.0,0.0,0.0,0.0,0.0
amazon_vg,ItemKNN,84,0.0,0.0,0.0,0.0,0.0,0.0
amazon_vg,Pop,84,0.007658341382641093,0.007658341382641093,0.005919690906582035,0.013451982245354556,0.004953773975438113,0.01752685481845416
lastfm,ALS,1,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,ItemKNN,1,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,Pop,1,0.03394495412844037,0.03394495412844037,0.03761467889908257,0.04530748262472002,0.03366972477064221,0.051574304948289386
lastfm,ALS,7,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,ItemKNN,7,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,Pop,7,0.043119266055045874,0.043119266055045874,0.03779816513761468,0.047330792429381804,0.03495412844036697,0.0542352999990803
lastfm,ALS,21,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,ItemKNN,21,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,Pop,21,0.03486238532110092,0.03486238532110092,0.03614678899082569,0.04460414286604313,0.033119266055045865,0.05210128447233254
lastfm,ALS,42,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,ItemKNN,42,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,Pop,42,0.03944954128440367,0.03944954128440367,0.04128440366972477,0.04982933275207926,0.03541284403669725,0.05507970697731413
lastfm,ALS,84,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,ItemKNN,84,0.0,0.0,0.0,0.0,0.0,0.0
lastfm,Pop,84,0.04220183486238532,0.04220183486238532,0.03944954128440367,0.04814006890559776,0.03522935779816514,0.054700003769162155
